feature,classification,reasoning
tenure_months,Essential,"Dominant Gini (0.359) and permutation importance (0.091); significant in LR (OR=0.75, p=0.004). Caveat: measured at-exit for leavers vs. still-accumulating for actives -- a structural asymmetry, not clean leakage, but it inflates apparent predictive power somewhat."
survey_response_rate,Essential,"The single strongest predictor in every method tried: Gini 0.478, permutation importance 0.200, LR OR=0.51 (95% CI 0.47-0.55, p<0.001, the tightest CI of any feature)."
legacy_entity_code,Essential,"Entity_C: OR=0.064 (95% CI 0.033-0.124, p<0.001) -- large, precise, and independently confirms the earlier Entity_C investigation. NovaCorp-Origin also significant (OR=1.39)."
hipo_flag,Essential,"The one hypothesis-relevant feature that survives full multivariate control: OR=1.60 (95% CI 1.26-2.03, p<0.001)."
age_band,Potential bias,"Statistically the largest effect in the dataset (60+ = OR 2.48, monotonic, 4 of 8 bands significant) -- but it is a protected characteristic, checked and ruled out as a retirement artifact (no retirement exit-reason category exists), and its root cause is unexplained. Predictive power and appropriate use are in tension here."
performance_rating,Useful,"No individual category is significant in the LR table, but the feature contributes to Gini/permutation importance via its 'Unknown' level -- which is itself an artifact (see below). The known categories (Outstanding..Unsatisfactory) carry real if modest signal."
compa_ratio,Useful,"Not predictive (OR=0.96, 95% CI 0.89-1.04, p=0.33) -- but essential to KEEP in the model precisely to test the hypothesis, not because it helps predict."
promotion_recommendation,Useful,"Not significant (OR=0.92, p=0.50) -- kept for the same hypothesis-testing reason as compa_ratio."
department,Useful,"Not significant in the multivariate model (all CIs cross 1) and zero permutation importance -- but it's the operationally actionable grain the Executive Story recommends against, so it stays for that reason even though it adds no independent predictive power here."
role_level,Redundant,"OR=0.96, p=0.34, permutation importance 0.0000. No measurable contribution once tenure and department are present."
promotion_eligible,Redundant,"OR=1.04, p=0.67. Nearly identical role_level means between eligible/not-eligible groups (1.586 vs 1.573) -- carries almost no independent information."
goal_achievement_score,Redundant,"OR=1.05, p=0.45, permutation importance 0.0000."
engagement_mean,Redundant,"Mathematically the mean of 8 sub-scores including wellbeing and psychological_safety (r=0.59 with both) -- including it alongside its own components is a built-in redundancy, and it is not significant on its own (p=0.067)."
psychological_safety,Redundant,"A component of engagement_mean (r=0.59); OR=1.06, p=0.23."
wellbeing,Redundant,"A component of engagement_mean (r=0.59); OR=1.01, p=0.81."
has_survey_data,Potential leakage,"VIF=24.9 (highest of any feature). Statistically non-identifiable once the Unknown-performance-rating rows are removed (p=0.999, CI extends to infinity). More importantly: we cannot rule out that missing survey data is a CONSEQUENCE of already being on an exit path (e.g. removed from distribution lists) rather than a cause of it -- flagged, not concluded, exactly like the Entity_C case."
performance_rating_Unknown / promotion_recommendation_Unknown (category),Potential leakage,"Perfectly collinear with each other (VIF=inf, identical 109-person population). Both are the same artifact: employees with ~2.7 months average tenure who haven't had a first review yet, 0 of 109 attrited by construction. Recommend replacing with an explicit 'new hire, no review yet' flag rather than an unlabeled 'Unknown' category."
